date,sex,ethnicity,abs,rate
2009-01-01,female,other_citizen,3594.0,26.4
2010-01-01,female,other_citizen,5191.0,45.9
2011-01-01,female,other_citizen,4391.0,37.2
2012-01-01,female,other_citizen,4101.0,33.8
2013-01-01,female,other_citizen,3968.0,31.6
2014-01-01,female,other_citizen,3955.0,30.6
2015-01-01,female,other_citizen,3882.0,29.3
2016-01-01,female,other_citizen,3726.0,27.3
2017-01-01,female,other_citizen,3732.0,26.6
2018-01-01,female,other_citizen,3596.0,25.1
2019-01-01,female,other_citizen,3494.0,23.9
2020-01-01,female,other_citizen,3382.0,34.2
2021-01-01,female,other_citizen,2637.0,26.1
2022-01-01,female,other_citizen,2622.0,25.6
2023-01-01,male,other_citizen,,
2023-01-01,female,other_citizen,,
2000-01-01,both,other_noncitizen,11041.0,7.8
2001-01-01,both,other_noncitizen,18071.0,12.0
2002-01-01,both,other_noncitizen,11741.0,7.3
2003-01-01,both,other_noncitizen,8604.0,5.1
2004-01-01,both,other_noncitizen,10615.0,6.0
2005-01-01,both,other_noncitizen,10877.0,5.8
2006-01-01,both,other_noncitizen,12492.0,6.4
2007-01-01,both,other_noncitizen,14137.0,6.9
2008-01-01,both,other_noncitizen,16354.0,7.6
2009-01-01,both,other_noncitizen,18180.0,8.1
2010-01-01,both,other_noncitizen,20163.0,8.7
2011-01-01,both,other_noncitizen,20207.0,8.3
2012-01-01,both,other_noncitizen,22531.0,8.8
2013-01-01,both,other_noncitizen,23258.0,8.1
2014-01-01,both,other_noncitizen,24250.0,8.1
2015-01-01,both,other_noncitizen,20578.0,6.6
2016-01-01,both,other_noncitizen,17193.0,5.3
2017-01-01,both,other_noncitizen,16719.0,5.1
2018-01-01,both,other_noncitizen,16669.0,5.0
2019-01-01,both,other_noncitizen,18028.0,5.7
2020-01-01,both,other_noncitizen,18258.0,6.8
2021-01-01,both,other_noncitizen,15284.0,6.0
2022-01-01,both,other_noncitizen,15712.0,6.3
2023-01-01,both,other_noncitizen,0.0,0.0
2000-01-01,male,other_noncitizen,5831.0,7.3
2001-01-01,male,other_noncitizen,9293.0,10.8
2002-01-01,male,other_noncitizen,6018.0,6.5
2003-01-01,male,other_noncitizen,4443.0,4.5
2004-01-01,male,other_noncitizen,5431.0,5.2
2005-01-01,male,other_noncitizen,5568.0,5.0
2006-01-01,male,other_noncitizen,6577.0,5.6
2007-01-01,male,other_noncitizen,7270.0,5.9
2008-01-01,male,other_noncitizen,8563.0,6.6
2009-01-01,male,other_noncitizen,9534.0,7.0
2010-01-01,male,other_noncitizen,10393.0,7.3
2011-01-01,male,other_noncitizen,10518.0,7.1
2012-01-01,male,other_noncitizen,11675.0,7.5
2013-01-01,male,other_noncitizen,12074.0,6.8
2014-01-01,male,other_noncitizen,12592.0,6.8
2015-01-01,male,other_noncitizen,10603.0,5.5
2016-01-01,male,other_noncitizen,8907.0,4.5
2017-01-01,male,other_noncitizen,8652.0,4.3
2018-01-01,male,other_noncitizen,8727.0,4.3
2019-01-01,male,other_noncitizen,9260.0,4.8
2020-01-01,male,other_noncitizen,9532.0,5.1
2021-01-01,male,other_noncitizen,7973.0,4.5
2022-01-01,male,other_noncitizen,8100.0,4.7
2000-01-01,female,other_noncitizen,5210.0,8.4
2001-01-01,female,other_noncitizen,8778.0,13.5
2002-01-01,female,other_noncitizen,5723.0,8.4
2003-01-01,female,other_noncitizen,4161.0,5.9
2004-01-01,female,other_noncitizen,5184.0,7.0
2005-01-01,female,other_noncitizen,5309.0,6.9
2006-01-01,female,other_noncitizen,5915.0,7.4
2007-01-01,female,other_noncitizen,6867.0,8.3
2008-01-01,female,other_noncitizen,7791.0,9.2
2009-01-01,female,other_noncitizen,8646.0,9.8
2010-01-01,female,other_noncitizen,9770.0,10.8
2011-01-01,female,other_noncitizen,9689.0,10.2
2012-01-01,female,other_noncitizen,10856.0,10.9
2013-01-01,female,other_noncitizen,11184.0,9.9
2014-01-01,female,other_noncitizen,11658.0,10.0
2015-01-01,female,other_noncitizen,9975.0,8.2
2016-01-01,female,other_noncitizen,8286.0,6.6
2017-01-01,female,other_noncitizen,8067.0,6.3
2018-01-01,female,other_noncitizen,7942.0,6.1
2019-01-01,female,other_noncitizen,8768.0,7.2
2020-01-01,female,other_noncitizen,8726.0,10.7
2021-01-01,female,other_noncitizen,7311.0,9.4
2022-01-01,female,other_noncitizen,7612.0,10.0
2023-01-01,male,other_noncitizen,,
2023-01-01,female,other_noncitizen,,
